Summary:
Total time: 15:07:38.960000
Total configurations run: 84

Configurations results from best to worst:
1. hidden_layers:[32,256], Score: -220.92
2. hidden_layers:[32,32,128], Score: -415.15
3. hidden_layers:[256,128,256], Score: -517.21
4. hidden_layers:[32,64,32], Score: -904.48
5. hidden_layers:[32,64], Score: -912.12
6. hidden_layers:[64,32,256], Score: -952.51
7. hidden_layers:[64,256,64], Score: -953.06
8. hidden_layers:[128,32,256], Score: -970.95
9. hidden_layers:[64,128,32], Score: -1016.24
10. hidden_layers:[64,128,128], Score: -1017.16
11. hidden_layers:[64,32,64], Score: -1126.67
12. hidden_layers:[256,64,32], Score: -1145.94
13. hidden_layers:[64,64,32], Score: -1219.11
14. hidden_layers:[256,128,32], Score: -1343.23
15. hidden_layers:[64,64,64], Score: -1355.17
16. hidden_layers:[128,64,256], Score: -1528.08
17. hidden_layers:[64], Score: -1536.71
18. hidden_layers:[128,128,64], Score: -1566.17
19. hidden_layers:[32,32], Score: -1610.54
20. hidden_layers:[128], Score: -1643.38
21. hidden_layers:[64,256,256], Score: -1688.85
22. hidden_layers:[32,256,32], Score: -1794.28
23. hidden_layers:[64,128,256], Score: -1799.48
24. hidden_layers:[256,32], Score: -1887.25
25. hidden_layers:[32,256,64], Score: -1899.95
26. hidden_layers:[32,256,128], Score: -1917.25
27. hidden_layers:[128,256,32], Score: -1923.76
28. hidden_layers:[128,32,128], Score: -1973.57
29. hidden_layers:[128,32,64], Score: -2017.45
30. hidden_layers:[256,32,32], Score: -2091.22
31. hidden_layers:[32,64,64], Score: -2107.57
32. hidden_layers:[32,32,64], Score: -2115.63
33. hidden_layers:[256,256,64], Score: -2134.44
34. hidden_layers:[32,32,32], Score: -2180.98
35. hidden_layers:[128,256,64], Score: -2249.50
36. hidden_layers:[32], Score: -2338.35
37. hidden_layers:[256,32,64], Score: -2418.74
38. hidden_layers:[64,32,32], Score: -2433.67
39. hidden_layers:[32,32,256], Score: -2493.51
40. hidden_layers:[64,64,128], Score: -2502.71
41. hidden_layers:[256,128,64], Score: -2704.02
42. hidden_layers:[32,128,64], Score: -2859.39
43. hidden_layers:[256,64,256], Score: -2880.79
44. hidden_layers:[64,64,256], Score: -2977.11
45. hidden_layers:[256,32,128], Score: -3019.66
46. hidden_layers:[32,64,256], Score: -3039.40
47. hidden_layers:[64,128,64], Score: -3056.13
48. hidden_layers:[128,64], Score: -3077.94
49. hidden_layers:[32,128,256], Score: -3091.94
50. hidden_layers:[128,32], Score: -3192.72
51. hidden_layers:[128,32,32], Score: -3204.90
52. hidden_layers:[128,128], Score: -3292.61
53. hidden_layers:[32,128,32], Score: -3299.39
54. hidden_layers:[256,32], Score: -3309.35
55. hidden_layers:[256,128], Score: -3365.99
56. hidden_layers:[32,64,128], Score: -3559.21
57. hidden_layers:[32,128], Score: -3569.67
58. hidden_layers:[32,256,256], Score: -3595.80
59. hidden_layers:[64,32], Score: -3717.57
60. hidden_layers:[64,64], Score: -3963.38
61. hidden_layers:[128,64,32], Score: -4096.07
62. hidden_layers:[32,128,128], Score: -4219.97
63. hidden_layers:[128,128,128], Score: -4296.39
64. hidden_layers:[256,128,128], Score: -4389.15
65. hidden_layers:[64,256,128], Score: -4649.28
66. hidden_layers:[128,64,64], Score: -4832.71
67. hidden_layers:[128,128,32], Score: -4928.41
68. hidden_layers:[64,32,128], Score: -5086.66
69. hidden_layers:[128,64,128], Score: -5121.68
70. hidden_layers:[256,256,32], Score: -5185.89
71. hidden_layers:[256,64], Score: -5187.42
72. hidden_layers:[64,256,32], Score: -5293.00
73. hidden_layers:[64,128], Score: -5699.99
74. hidden_layers:[64,256], Score: -5752.42
75. hidden_layers:[256,64,64], Score: -5853.35
76. hidden_layers:[128,256,256], Score: -9597.62
77. hidden_layers:[128,128,256], Score: -11274.01
78. hidden_layers:[256,32,256], Score: -11274.01
79. hidden_layers:[256,256,128], Score: -11274.01
80. hidden_layers:[128,256,256], Score: -11274.01
81. hidden_layers:[128,256], Score: -11323.70
82. hidden_layers:[256,256], Score: -11323.70
83. hidden_layers:[256], Score: -11323.70
84. hidden_layers:[256,256,256], Score: -11323.70
